,person.type,person.value,religion.xml:lang,religion.type,religion.value,personLabel.xml:lang,personLabel.type,personLabel.value
182,uri,http://www.wikidata.org/entity/Q5280865,,,,en,literal,Dirk Reuyl
183,uri,http://www.wikidata.org/entity/Q5292556,,,,en,literal,Don E. Detmer
184,uri,http://www.wikidata.org/entity/Q5294040,,,,en,literal,Donald Black
185,uri,http://www.wikidata.org/entity/Q5294330,,,,en,literal,Donald F. Hunt
186,uri,http://www.wikidata.org/entity/Q5294615,,,,en,literal,Donald Justice
187,uri,http://www.wikidata.org/entity/Q5294619,,,,en,literal,Donald K. Fry
188,uri,http://www.wikidata.org/entity/Q5295138,,,,en,literal,Donald Shaw
189,uri,http://www.wikidata.org/entity/Q5322126,,,,en,literal,E. Roger Boyle
190,uri,http://www.wikidata.org/entity/Q5337232,,,,en,literal,"Edgar F. Shannon, Jr."
191,uri,http://www.wikidata.org/entity/Q5342503,,,,en,literal,Edward D. Miller
192,uri,http://www.wikidata.org/entity/Q5343039,,,,en,literal,Edward G. Lengel
193,uri,http://www.wikidata.org/entity/Q5344058,,,,en,literal,Edward Larrabee Barnes
194,uri,http://www.wikidata.org/entity/Q5345345,,,,en,literal,Edward Slaughter
195,uri,http://www.wikidata.org/entity/Q5364794,,,,en,literal,Ellen Contini-Morava
196,uri,http://www.wikidata.org/entity/Q5365006,,,,en,literal,Ellen Segal Huvelle
197,uri,http://www.wikidata.org/entity/Q5386990,,,,en,literal,Eric Lott
198,uri,http://www.wikidata.org/entity/Q5388993,,,,en,literal,Erika Meitner
199,uri,http://www.wikidata.org/entity/Q5393105,,,,en,literal,Ernest Gellhorn
200,uri,http://www.wikidata.org/entity/Q5393551,,,,en,literal,Ernest Mead
201,uri,http://www.wikidata.org/entity/Q5436595,,,,en,literal,Farzaneh Milani
202,uri,http://www.wikidata.org/entity/Q5481045,,,,en,literal,Francis Gavin
203,uri,http://www.wikidata.org/entity/Q5487223,,,,en,literal,Frank Hereford
204,uri,http://www.wikidata.org/entity/Q5497974,,,,en,literal,Frederick Hartt
205,uri,http://www.wikidata.org/entity/Q5498476,,,,en,literal,Frederick Nolting
