,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,conditions.type,conditions.value
123,uri,http://www.wikidata.org/entity/Q54611390,en,literal,Malcom Gregory Scott,literal,HIV/AIDS
124,uri,http://www.wikidata.org/entity/Q55681462,en,literal,Brian Buczak,literal,HIV/AIDS
125,uri,http://www.wikidata.org/entity/Q56461797,en,literal,Dru Stix,literal,HIV/AIDS
126,uri,http://www.wikidata.org/entity/Q57418896,en,literal,Dennis Riley,literal,HIV/AIDS
127,uri,http://www.wikidata.org/entity/Q58640157,en,literal,Adam Johnson,literal,HIV/AIDS
128,uri,http://www.wikidata.org/entity/Q60754678,en,literal,Michael Hardwick,literal,HIV/AIDS
129,uri,http://www.wikidata.org/entity/Q64647152,en,literal,John Van Ryzin,literal,HIV/AIDS
130,uri,http://www.wikidata.org/entity/Q65673977,en,literal,Deolus W. Husband,literal,HIV/AIDS
131,uri,http://www.wikidata.org/entity/Q81233182,en,literal,Tom Rauffenbart,literal,HIV/AIDS
132,uri,http://www.wikidata.org/entity/Q84313192,en,literal,Lee Gannon,literal,HIV/AIDS
133,uri,http://www.wikidata.org/entity/Q93924142,en,literal,Stephen F. Kolzak,literal,HIV/AIDS
134,uri,http://www.wikidata.org/entity/Q98084411,en,literal,Robin Mackie,literal,HIV/AIDS
135,uri,http://www.wikidata.org/entity/Q99256919,en,literal,Charles Buel,literal,HIV/AIDS
136,uri,http://www.wikidata.org/entity/Q100152138,en,literal,Kim Foltz,literal,HIV/AIDS
137,uri,http://www.wikidata.org/entity/Q106835403,en,literal,Roger Horwitz,literal,HIV/AIDS
138,uri,http://www.wikidata.org/entity/Q107341816,en,literal,Nadia Echazú,literal,HIV/AIDS
139,uri,http://www.wikidata.org/entity/Q107387549,en,literal,Nomandla Yako,literal,HIV/AIDS
140,uri,http://www.wikidata.org/entity/Q109630123,en,literal,William Way,literal,HIV/AIDS
141,uri,http://www.wikidata.org/entity/Q109801653,en,literal,Phil Saviano,literal,HIV/AIDS
142,uri,http://www.wikidata.org/entity/Q80048,en,literal,Al Capone,literal,gonorrhea
