,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
115,uri,http://www.wikidata.org/entity/Q3182089,en,literal,John Milbank
116,uri,http://www.wikidata.org/entity/Q3185398,en,literal,Joseph Médard Carrière
117,uri,http://www.wikidata.org/entity/Q3244789,en,literal,Jim B. Tucker
118,uri,http://www.wikidata.org/entity/Q7610721,en,literal,Stephen Tuttle
119,uri,http://www.wikidata.org/entity/Q7615091,en,literal,Steven Nock
120,uri,http://www.wikidata.org/entity/Q7693743,en,literal,Ted Snyder
121,uri,http://www.wikidata.org/entity/Q7702090,en,literal,Teresa A. Sullivan
122,uri,http://www.wikidata.org/entity/Q7706889,en,literal,Tetsundo Iwakuni
123,uri,http://www.wikidata.org/entity/Q7790651,en,literal,Thomas Hewitt Key
124,uri,http://www.wikidata.org/entity/Q7804525,en,literal,Tim Wu
125,uri,http://www.wikidata.org/entity/Q6172460,en,literal,Jeb Livingood
126,uri,http://www.wikidata.org/entity/Q6176088,en,literal,Jeffrey K. Olick
127,uri,http://www.wikidata.org/entity/Q6176191,en,literal,Jeffrey O'Connell
128,uri,http://www.wikidata.org/entity/Q6182840,en,literal,Jerome McGann
129,uri,http://www.wikidata.org/entity/Q6196309,en,literal,Jim Lark
130,uri,http://www.wikidata.org/entity/Q6208090,en,literal,Jody Kraus
131,uri,http://www.wikidata.org/entity/Q6216361,en,literal,Johanna Drucker
132,uri,http://www.wikidata.org/entity/Q6220050,en,literal,John B. Minor
133,uri,http://www.wikidata.org/entity/Q6222461,en,literal,John Bonvillian
134,uri,http://www.wikidata.org/entity/Q6224880,en,literal,John Calvin Jeffries
135,uri,http://www.wikidata.org/entity/Q6227181,en,literal,John Corrigan
136,uri,http://www.wikidata.org/entity/Q6245060,en,literal,John Lloyd Newcomb
137,uri,http://www.wikidata.org/entity/Q6246525,en,literal,John Mallet
138,uri,http://www.wikidata.org/entity/Q6259942,en,literal,John T. Casteen III
139,uri,http://www.wikidata.org/entity/Q6260309,en,literal,John Tayloe Lomax
140,uri,http://www.wikidata.org/entity/Q15129933,en,literal,Stephen Plog
141,uri,http://www.wikidata.org/entity/Q15229573,en,literal,Craig Huneke
142,uri,http://www.wikidata.org/entity/Q15402044,en,literal,Michael H. Prosser
143,uri,http://www.wikidata.org/entity/Q15429427,en,literal,Andrew P. Sage
144,uri,http://www.wikidata.org/entity/Q15429433,en,literal,Arthur Kirsch
145,uri,http://www.wikidata.org/entity/Q15437407,en,literal,Terry Belanger
146,uri,http://www.wikidata.org/entity/Q133222,en,literal,Clinton Davisson
147,uri,http://www.wikidata.org/entity/Q4349539,en,literal,Quincy Wright
148,uri,http://www.wikidata.org/entity/Q4356592,en,literal,Trenton Merricks
149,uri,http://www.wikidata.org/entity/Q4502742,en,literal,Jeffrey K. Hadden
150,uri,http://www.wikidata.org/entity/Q4521730,en,literal,Graham Schweig
151,uri,http://www.wikidata.org/entity/Q4531178,en,literal,Kenneth G. Elzinga
152,uri,http://www.wikidata.org/entity/Q6263713,en,literal,John Wheeler-Bennett
153,uri,http://www.wikidata.org/entity/Q6281898,en,literal,Joseph C. Miller
154,uri,http://www.wikidata.org/entity/Q6283130,en,literal,Joseph Fletcher
155,uri,http://www.wikidata.org/entity/Q6286311,en,literal,Joseph Poon
156,uri,http://www.wikidata.org/entity/Q6304491,en,literal,Judy Jordan
