,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sports.type,sports.value
177,uri,http://www.wikidata.org/entity/Q234158,en,literal,Leontien van Moorsel,literal,"track cyclist, sport cyclist"
178,uri,http://www.wikidata.org/entity/Q234488,en,literal,Trine Hattestad,literal,"javelin thrower, handball player"
179,uri,http://www.wikidata.org/entity/Q234886,en,literal,Pernilla Wiberg,literal,alpine skier
180,uri,http://www.wikidata.org/entity/Q235035,en,literal,Sandra Izbașa,literal,artistic gymnast
181,uri,http://www.wikidata.org/entity/Q235058,en,literal,Olga Zaitseva,literal,biathlete
182,uri,http://www.wikidata.org/entity/Q235151,en,literal,Betty Robinson,literal,"athletics competitor, sprinter"
183,uri,http://www.wikidata.org/entity/Q235341,en,literal,Yvonne van Gennip,literal,speed skater
184,uri,http://www.wikidata.org/entity/Q235527,en,literal,Helena Ekholm,literal,biathlete
185,uri,http://www.wikidata.org/entity/Q235624,en,literal,Fani Chalkia,literal,"athletics competitor, sprinter"
186,uri,http://www.wikidata.org/entity/Q235774,en,literal,Rica Reinisch,literal,swimmer
187,uri,http://www.wikidata.org/entity/Q235780,en,literal,Femke Heemskerk,literal,swimmer
188,uri,http://www.wikidata.org/entity/Q236306,en,literal,Tatyana Kotova,literal,long jumper
189,uri,http://www.wikidata.org/entity/Q236423,en,literal,Inge Dekker,literal,swimmer
190,uri,http://www.wikidata.org/entity/Q237280,en,literal,Simona Amânar,literal,artistic gymnast
191,uri,http://www.wikidata.org/entity/Q238219,en,literal,Fiona May,literal,"long jumper, actor"
192,uri,http://www.wikidata.org/entity/Q238700,en,literal,Mizuki Noguchi,literal,"marathon runner, athletics competitor, long-distance runner"
193,uri,http://www.wikidata.org/entity/Q239139,en,literal,Kerron Stewart,literal,"athletics competitor, sprinter"
194,uri,http://www.wikidata.org/entity/Q239979,en,literal,Ibolya Csák,literal,athletics competitor
195,uri,http://www.wikidata.org/entity/Q240036,en,literal,Masako Hozumi,literal,speed skater
196,uri,http://www.wikidata.org/entity/Q240351,en,literal,Sara Isaković,literal,swimmer
197,uri,http://www.wikidata.org/entity/Q241057,en,literal,Helena Fibingerová,literal,athletics competitor
198,uri,http://www.wikidata.org/entity/Q241266,en,literal,Maksim Anisimov,literal,"Nordic combined skier, ski jumper"
199,uri,http://www.wikidata.org/entity/Q241563,en,literal,Sari Essayah,literal,"athletics competitor, politician"
200,uri,http://www.wikidata.org/entity/Q241737,en,literal,Joan Benoit Samuelson,literal,"marathon runner, athletics competitor, long-distance runner"
201,uri,http://www.wikidata.org/entity/Q242362,en,literal,Ethel Smith,literal,sprinter
202,uri,http://www.wikidata.org/entity/Q242413,en,literal,Tessa Sanderson,literal,javelin thrower
203,uri,http://www.wikidata.org/entity/Q242827,en,literal,Maki Tabata,literal,"track cyclist, speed skater"
204,uri,http://www.wikidata.org/entity/Q245241,en,literal,Marin Čilić,literal,tennis player
205,uri,http://www.wikidata.org/entity/Q251241,en,literal,Viktor Zaytsev,literal,javelin thrower
206,uri,http://www.wikidata.org/entity/Q251935,en,literal,Marine Debauve,literal,artistic gymnast
207,uri,http://www.wikidata.org/entity/Q252928,en,literal,Alena Zavarzina,literal,snowboarder
208,uri,http://www.wikidata.org/entity/Q253461,en,literal,Anna Bessonova,literal,rhythmic gymnast
209,uri,http://www.wikidata.org/entity/Q253674,en,literal,Nicole Haislett,literal,swimmer
210,uri,http://www.wikidata.org/entity/Q253853,en,literal,Nao Kodaira,literal,"speed skater, athlete"
211,uri,http://www.wikidata.org/entity/Q254132,en,literal,Olga Shishigina,literal,athletics competitor
212,uri,http://www.wikidata.org/entity/Q254423,en,literal,Tatyana Tomashova,literal,"middle-distance runner, athletics competitor, long-distance runner"
213,uri,http://www.wikidata.org/entity/Q254765,en,literal,Lothar Stäber,literal,sport cyclist
214,uri,http://www.wikidata.org/entity/Q255482,en,literal,Félicia Ballanger,literal,sport cyclist
215,uri,http://www.wikidata.org/entity/Q256083,en,literal,Elena Grushina,literal,"figure skating coach, ice dancer"
216,uri,http://www.wikidata.org/entity/Q256141,en,literal,Vladimir Sakhnov,literal,cross-country skier
