,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value
94,uri,http://www.wikidata.org/entity/Q267893,en,literal,Lorraine Fenton,en,literal,female
95,uri,http://www.wikidata.org/entity/Q269609,en,literal,Wang Chen,en,literal,female
96,uri,http://www.wikidata.org/entity/Q269719,en,literal,Yelena Sokolova,en,literal,female
97,uri,http://www.wikidata.org/entity/Q269817,en,literal,Jadwiga Wajs,en,literal,female
98,uri,http://www.wikidata.org/entity/Q270056,en,literal,Mirja Lehtonen,en,literal,female
99,uri,http://www.wikidata.org/entity/Q270137,en,literal,Marianne St-Gelais,en,literal,female
100,uri,http://www.wikidata.org/entity/Q1672,en,literal,Dejen Gebremeskel,en,literal,male
101,uri,http://www.wikidata.org/entity/Q1681,en,literal,Abel Mutai,en,literal,male
102,uri,http://www.wikidata.org/entity/Q1712,en,literal,Erick Barrondo,en,literal,male
103,uri,http://www.wikidata.org/entity/Q1738,en,literal,Robert Grabarz,en,literal,male
104,uri,http://www.wikidata.org/entity/Q1755,en,literal,Tomasz Majewski,en,literal,male
105,uri,http://www.wikidata.org/entity/Q1789,en,literal,Ashton Eaton,en,literal,male
106,uri,http://www.wikidata.org/entity/Q1956,en,literal,Hermann Maier,en,literal,male
107,uri,http://www.wikidata.org/entity/Q4261,en,literal,Michel Platini,en,literal,male
108,uri,http://www.wikidata.org/entity/Q5820,en,literal,Mariya Savinova,en,literal,female
109,uri,http://www.wikidata.org/entity/Q6348,en,literal,Caterine Ibargüen,en,literal,female
110,uri,http://www.wikidata.org/entity/Q6419,en,literal,Barbora Špotáková,en,literal,female
111,uri,http://www.wikidata.org/entity/Q6427,en,literal,Christina Obergföll,en,literal,female
112,uri,http://www.wikidata.org/entity/Q7658,en,literal,Heidi Weng,en,literal,female
113,uri,http://www.wikidata.org/entity/Q9096,en,literal,Wilfred Bungei,en,literal,male
114,uri,http://www.wikidata.org/entity/Q9112,en,literal,Nick Willis,en,literal,male
115,uri,http://www.wikidata.org/entity/Q9119,en,literal,Kenenisa Bekele,en,literal,male
116,uri,http://www.wikidata.org/entity/Q9132,en,literal,Sileshi Sihine,en,literal,male
117,uri,http://www.wikidata.org/entity/Q9146,en,literal,Richard Mateelong,en,literal,male
118,uri,http://www.wikidata.org/entity/Q10089,en,literal,Julia Mancuso,en,literal,female
119,uri,http://www.wikidata.org/entity/Q10095,en,literal,Annelise Coberger,en,literal,female
120,uri,http://www.wikidata.org/entity/Q10106,en,literal,Kerstin Szymkowiak,en,literal,female
121,uri,http://www.wikidata.org/entity/Q15750,en,literal,Timo Murama,en,literal,male
122,uri,http://www.wikidata.org/entity/Q15751,en,literal,Jarkko Määttä,en,literal,male
123,uri,http://www.wikidata.org/entity/Q18718,en,literal,Géza Imre,en,literal,male
124,uri,http://www.wikidata.org/entity/Q23405,en,literal,Ted Ligety,en,literal,male
125,uri,http://www.wikidata.org/entity/Q25895,en,literal,Maria Mazina,en,literal,female
126,uri,http://www.wikidata.org/entity/Q25918,en,literal,Yang Shaoqi,en,literal,female
127,uri,http://www.wikidata.org/entity/Q29184,en,literal,Trixi Worrack,en,literal,female
128,uri,http://www.wikidata.org/entity/Q30767,en,literal,Caroline Wozniacki,en,literal,female
129,uri,http://www.wikidata.org/entity/Q31677,en,literal,Natalia Málaga,en,literal,female
130,uri,http://www.wikidata.org/entity/Q32014,en,literal,Éverton Lopes,en,literal,male
131,uri,http://www.wikidata.org/entity/Q32478,en,literal,Amantle Montsho,en,literal,female
132,uri,http://www.wikidata.org/entity/Q33721,en,literal,Leopoldo Sáinz de la Maza,en,literal,male
133,uri,http://www.wikidata.org/entity/Q41522,en,literal,Ard Schenk,en,literal,male
134,uri,http://www.wikidata.org/entity/Q41708,en,literal,Andreas Wenzel,en,literal,male
135,uri,http://www.wikidata.org/entity/Q43362,en,literal,Léonhard Quaglia,en,literal,male
136,uri,http://www.wikidata.org/entity/Q44341,en,literal,Guillermo Betancourt,en,literal,male
137,uri,http://www.wikidata.org/entity/Q44413,en,literal,Philippe Omnès,en,literal,male
138,uri,http://www.wikidata.org/entity/Q46092,en,literal,Ronald Florijn,en,literal,male
139,uri,http://www.wikidata.org/entity/Q48648,en,literal,Aranka Binder,en,literal,female
140,uri,http://www.wikidata.org/entity/Q52674,en,literal,Ray Ewry,en,literal,male
141,uri,http://www.wikidata.org/entity/Q56660,en,literal,Amund Sjøbrend,en,literal,male
142,uri,http://www.wikidata.org/entity/Q57484,en,literal,Ruth Fuchs,en,literal,female
143,uri,http://www.wikidata.org/entity/Q57861,en,literal,Ricco Groß,en,literal,male
144,uri,http://www.wikidata.org/entity/Q58315,en,literal,Washington Rodríguez,en,literal,male
145,uri,http://www.wikidata.org/entity/Q59490,en,literal,Serge Gnabry,en,literal,male
146,uri,http://www.wikidata.org/entity/Q59555,en,literal,Alphonse Parfondry,en,literal,male
147,uri,http://www.wikidata.org/entity/Q59790,en,literal,René Hamel,en,literal,male
148,uri,http://www.wikidata.org/entity/Q60288,en,literal,Gunda Niemann-Stirnemann,en,literal,female
149,uri,http://www.wikidata.org/entity/Q60480,en,literal,Miriam Neureuther,en,literal,female
150,uri,http://www.wikidata.org/entity/Q61493,en,literal,Bernd Kannenberg,en,literal,male
151,uri,http://www.wikidata.org/entity/Q61624,en,literal,Rosi Mittermaier,en,literal,female
152,uri,http://www.wikidata.org/entity/Q61726,en,literal,Karsten Kobs,en,literal,male
153,uri,http://www.wikidata.org/entity/Q62245,en,literal,Daniela Anschütz-Thoms,en,literal,female
154,uri,http://www.wikidata.org/entity/Q62922,en,literal,Katrin Wagner-Augustin,en,literal,female
155,uri,http://www.wikidata.org/entity/Q63273,en,literal,Wolfgang Hoppe,en,literal,male
156,uri,http://www.wikidata.org/entity/Q63723,en,literal,Helge Meeuw,en,literal,male
157,uri,http://www.wikidata.org/entity/Q63800,en,literal,Alfred Dompert,en,literal,male
158,uri,http://www.wikidata.org/entity/Q65339,en,literal,Wojciech Gutorski,en,literal,male
159,uri,http://www.wikidata.org/entity/Q65678,en,literal,Florence Ekpo-Umoh,en,literal,female
160,uri,http://www.wikidata.org/entity/Q65739,en,literal,Franziska Weber,en,literal,female
