,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,ethnicity.type,ethnicity.value
110,uri,http://www.wikidata.org/entity/Q1873929,en,literal,Ludlow Griscom,literal,
111,uri,http://www.wikidata.org/entity/Q2044760,en,literal,David G. Bromley,literal,
112,uri,http://www.wikidata.org/entity/Q2076568,en,literal,Peter Landweber,literal,
113,uri,http://www.wikidata.org/entity/Q2093316,en,literal,Pierre Conner,literal,
114,uri,http://www.wikidata.org/entity/Q2158898,en,literal,Robert Evert Stong,literal,
115,uri,http://www.wikidata.org/entity/Q2161569,en,literal,Roger A. Pielke,literal,
116,uri,http://www.wikidata.org/entity/Q2161885,en,literal,Roger Shattuck,literal,
117,uri,http://www.wikidata.org/entity/Q2341286,en,literal,William Barton Rogers,literal,
118,uri,http://www.wikidata.org/entity/Q2559671,en,literal,Samuel Alfred Mitchell,literal,
119,uri,http://www.wikidata.org/entity/Q2642732,en,literal,Alexander Newton Winchell,literal,
120,uri,http://www.wikidata.org/entity/Q2692082,en,literal,Nicolas Tournadre,literal,
121,uri,http://www.wikidata.org/entity/Q2901043,en,literal,Robert Cooter,literal,
122,uri,http://www.wikidata.org/entity/Q2960465,en,literal,Charles Wright,literal,
123,uri,http://www.wikidata.org/entity/Q3014805,en,literal,Daniel Wegner,literal,
124,uri,http://www.wikidata.org/entity/Q3140859,en,literal,"Horton Holcombe Hobbs, Jr.",literal,
125,uri,http://www.wikidata.org/entity/Q3146470,en,literal,I. J. Parker,literal,
126,uri,http://www.wikidata.org/entity/Q3161705,en,literal,Jan L. Perkowski,literal,
127,uri,http://www.wikidata.org/entity/Q3182089,en,literal,John Milbank,literal,
128,uri,http://www.wikidata.org/entity/Q3185398,en,literal,Joseph Médard Carrière,literal,
129,uri,http://www.wikidata.org/entity/Q3244789,en,literal,Jim B. Tucker,literal,
130,uri,http://www.wikidata.org/entity/Q3246321,en,literal,Bruce Greyson,literal,
131,uri,http://www.wikidata.org/entity/Q3262682,en,literal,Louis Menand,literal,
132,uri,http://www.wikidata.org/entity/Q3302959,en,literal,Emma Vyssotsky,literal,
133,uri,http://www.wikidata.org/entity/Q3306602,en,literal,Merrill Elam,literal,
134,uri,http://www.wikidata.org/entity/Q3436307,en,literal,Robert Homer Simpson,literal,
135,uri,http://www.wikidata.org/entity/Q3896092,en,literal,Park Dietz,literal,
136,uri,http://www.wikidata.org/entity/Q4027139,en,literal,Robert B. Radnitz,literal,
137,uri,http://www.wikidata.org/entity/Q4133014,en,literal,E. D. Hirsch,literal,
138,uri,http://www.wikidata.org/entity/Q4347110,en,literal,Robert M. Patterson,literal,
139,uri,http://www.wikidata.org/entity/Q4349539,en,literal,Quincy Wright,literal,
140,uri,http://www.wikidata.org/entity/Q4356592,en,literal,Trenton Merricks,literal,
141,uri,http://www.wikidata.org/entity/Q4502742,en,literal,Jeffrey K. Hadden,literal,
142,uri,http://www.wikidata.org/entity/Q4521730,en,literal,Graham Schweig,literal,
143,uri,http://www.wikidata.org/entity/Q4531178,en,literal,Kenneth G. Elzinga,literal,
144,uri,http://www.wikidata.org/entity/Q4647627,en,literal,A. C. Spearing,literal,
145,uri,http://www.wikidata.org/entity/Q4665815,en,literal,Abdulaziz Sachedina,literal,
146,uri,http://www.wikidata.org/entity/Q4679954,en,literal,Adam Watson,literal,
147,uri,http://www.wikidata.org/entity/Q4706366,en,literal,Alan Cheuse,literal,
148,uri,http://www.wikidata.org/entity/Q4711313,en,literal,Albert Taylor Bledsoe,literal,
149,uri,http://www.wikidata.org/entity/Q4719325,en,literal,Alexander Klibanov,literal,
150,uri,http://www.wikidata.org/entity/Q4727143,en,literal,Alison Milbank,literal,
151,uri,http://www.wikidata.org/entity/Q4755147,en,literal,Andrea L. Press,literal,
152,uri,http://www.wikidata.org/entity/Q4799180,en,literal,Arthur J. Bachrach,literal,
153,uri,http://www.wikidata.org/entity/Q4808349,en,literal,Assaf Shelleg,literal,
154,uri,http://www.wikidata.org/entity/Q4815991,en,literal,Mary Lou Soffa,literal,
155,uri,http://www.wikidata.org/entity/Q4858257,en,literal,Ed Diener,literal,
156,uri,http://www.wikidata.org/entity/Q4865662,en,literal,Barton Myers,literal,
157,uri,http://www.wikidata.org/entity/Q4866340,en,literal,Bascom S. Deaver,literal,
158,uri,http://www.wikidata.org/entity/Q4893422,en,literal,Bernard Mayes,literal,
159,uri,http://www.wikidata.org/entity/Q4957692,en,literal,Brantly Womack,literal,
160,uri,http://www.wikidata.org/entity/Q4967003,en,literal,Brie Gertler,literal,
161,uri,http://www.wikidata.org/entity/Q4975042,en,literal,Brooks Pate,literal,
162,uri,http://www.wikidata.org/entity/Q4977040,en,literal,Bruce A. Williams,literal,
163,uri,http://www.wikidata.org/entity/Q5006273,en,literal,C. Alphonso Smith,literal,
164,uri,http://www.wikidata.org/entity/Q5074847,en,literal,Charles A. Holt,literal,
165,uri,http://www.wikidata.org/entity/Q5078460,en,literal,Charles Grisham,literal,
166,uri,http://www.wikidata.org/entity/Q5081332,en,literal,Charles O. Jones,literal,
167,uri,http://www.wikidata.org/entity/Q5081704,en,literal,Charles Pollard Olivier,literal,
168,uri,http://www.wikidata.org/entity/Q5082301,en,literal,Charles S. Venable,literal,
169,uri,http://www.wikidata.org/entity/Q5083498,en,literal,Charles Whitebread,literal,
170,uri,http://www.wikidata.org/entity/Q5113331,en,literal,Christopher Tilghman,literal,
171,uri,http://www.wikidata.org/entity/Q5125004,en,literal,Claes G. Ryn,literal,
172,uri,http://www.wikidata.org/entity/Q5126252,en,literal,Clare Shore,literal,
173,uri,http://www.wikidata.org/entity/Q5218889,en,literal,Daniel T. Willingham,literal,
174,uri,http://www.wikidata.org/entity/Q5231395,en,literal,David Bevington,literal,
175,uri,http://www.wikidata.org/entity/Q5234583,en,literal,David Haberly,literal,
176,uri,http://www.wikidata.org/entity/Q5237037,en,literal,David Magleby,literal,
177,uri,http://www.wikidata.org/entity/Q5240176,en,literal,David Summers,literal,
178,uri,http://www.wikidata.org/entity/Q5280865,en,literal,Dirk Reuyl,literal,
179,uri,http://www.wikidata.org/entity/Q5292556,en,literal,Don E. Detmer,literal,
180,uri,http://www.wikidata.org/entity/Q5294040,en,literal,Donald Black,literal,
181,uri,http://www.wikidata.org/entity/Q5294330,en,literal,Donald F. Hunt,literal,
182,uri,http://www.wikidata.org/entity/Q5294615,en,literal,Donald Justice,literal,
183,uri,http://www.wikidata.org/entity/Q5294619,en,literal,Donald K. Fry,literal,
184,uri,http://www.wikidata.org/entity/Q5295138,en,literal,Donald Shaw,literal,
185,uri,http://www.wikidata.org/entity/Q5322126,en,literal,E. Roger Boyle,literal,
186,uri,http://www.wikidata.org/entity/Q5337232,en,literal,"Edgar F. Shannon, Jr.",literal,
187,uri,http://www.wikidata.org/entity/Q5342503,en,literal,Edward D. Miller,literal,
188,uri,http://www.wikidata.org/entity/Q5343039,en,literal,Edward G. Lengel,literal,
189,uri,http://www.wikidata.org/entity/Q5344058,en,literal,Edward Larrabee Barnes,literal,
190,uri,http://www.wikidata.org/entity/Q5345345,en,literal,Edward Slaughter,literal,
191,uri,http://www.wikidata.org/entity/Q5364794,en,literal,Ellen Contini-Morava,literal,
192,uri,http://www.wikidata.org/entity/Q5365006,en,literal,Ellen Segal Huvelle,literal,
193,uri,http://www.wikidata.org/entity/Q5386990,en,literal,Eric Lott,literal,
194,uri,http://www.wikidata.org/entity/Q5388993,en,literal,Erika Meitner,literal,
195,uri,http://www.wikidata.org/entity/Q5393105,en,literal,Ernest Gellhorn,literal,
196,uri,http://www.wikidata.org/entity/Q5393551,en,literal,Ernest Mead,literal,
197,uri,http://www.wikidata.org/entity/Q5436595,en,literal,Farzaneh Milani,literal,
198,uri,http://www.wikidata.org/entity/Q5481045,en,literal,Francis Gavin,literal,
199,uri,http://www.wikidata.org/entity/Q5487223,en,literal,Frank Hereford,literal,
200,uri,http://www.wikidata.org/entity/Q5497974,en,literal,Frederick Hartt,literal,
201,uri,http://www.wikidata.org/entity/Q5498476,en,literal,Frederick Nolting,literal,
202,uri,http://www.wikidata.org/entity/Q5499578,en,literal,Fredson Bowers,literal,
203,uri,http://www.wikidata.org/entity/Q5522901,en,literal,Gareth B. Matthews,literal,
204,uri,http://www.wikidata.org/entity/Q5525525,en,literal,Gary Marks,literal,
205,uri,http://www.wikidata.org/entity/Q5531151,en,literal,Gene D. Block,literal,
206,uri,http://www.wikidata.org/entity/Q5539466,en,literal,George Frederick Holmes,literal,
207,uri,http://www.wikidata.org/entity/Q5539634,en,literal,George Garrett,literal,
208,uri,http://www.wikidata.org/entity/Q5542439,en,literal,George Michael,literal,
209,uri,http://www.wikidata.org/entity/Q5606923,en,literal,Gregory G. Colomb,literal,
210,uri,http://www.wikidata.org/entity/Q5628518,en,literal,H. Richard Winn,literal,
211,uri,http://www.wikidata.org/entity/Q5672014,en,literal,Harry Rogers Pratt,literal,
212,uri,http://www.wikidata.org/entity/Q5701011,en,literal,M.R. Ghanoonparvar,literal,
213,uri,http://www.wikidata.org/entity/Q5721808,en,literal,Henry Garrett,literal,
214,uri,http://www.wikidata.org/entity/Q5992405,en,literal,Ignacio Provencio,literal,
215,uri,http://www.wikidata.org/entity/Q6074600,en,literal,Irving Gottesman,literal,
216,uri,http://www.wikidata.org/entity/Q6105354,en,literal,J. David Sapir,literal,
217,uri,http://www.wikidata.org/entity/Q6131299,en,literal,James Childress,literal,
218,uri,http://www.wikidata.org/entity/Q6132422,en,literal,James Davison Hunter,literal,
219,uri,http://www.wikidata.org/entity/Q6135647,en,literal,James Harry Michael Jr.,literal,
220,uri,http://www.wikidata.org/entity/Q6143406,en,literal,James Southall Wilson,literal,
221,uri,http://www.wikidata.org/entity/Q6143581,en,literal,James Sterling Young,literal,
222,uri,http://www.wikidata.org/entity/Q6154557,en,literal,Janine Jagger,literal,
223,uri,http://www.wikidata.org/entity/Q6170610,en,literal,Jean Edward Smith,literal,
224,uri,http://www.wikidata.org/entity/Q6172460,en,literal,Jeb Livingood,literal,
225,uri,http://www.wikidata.org/entity/Q6176088,en,literal,Jeffrey K. Olick,literal,
226,uri,http://www.wikidata.org/entity/Q6176191,en,literal,Jeffrey O'Connell,literal,
