,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
241,uri,http://www.wikidata.org/entity/Q242413,en,literal,Tessa Sanderson
242,uri,http://www.wikidata.org/entity/Q234488,en,literal,Trine Hattestad
243,uri,http://www.wikidata.org/entity/Q235341,en,literal,Yvonne van Gennip
244,uri,http://www.wikidata.org/entity/Q227338,en,literal,Zsolt Borkai
245,uri,http://www.wikidata.org/entity/Q260861,en,literal,Aleksander Tammert
246,uri,http://www.wikidata.org/entity/Q252928,en,literal,Alena Zavarzina
247,uri,http://www.wikidata.org/entity/Q267513,en,literal,Andrea Ehrig-Mitscherlich
248,uri,http://www.wikidata.org/entity/Q259452,en,literal,Andrej Golic
249,uri,http://www.wikidata.org/entity/Q266480,en,literal,Anita Moen
250,uri,http://www.wikidata.org/entity/Q253461,en,literal,Anna Bessonova
251,uri,http://www.wikidata.org/entity/Q260978,en,literal,Berhane Adere
252,uri,http://www.wikidata.org/entity/Q263086,en,literal,Bertrand Gille
253,uri,http://www.wikidata.org/entity/Q259744,en,literal,Britta Johansson Norgren
254,uri,http://www.wikidata.org/entity/Q264681,en,literal,Camilla Herrem
255,uri,http://www.wikidata.org/entity/Q260481,en,literal,Cathrine Lindahl
256,uri,http://www.wikidata.org/entity/Q261272,en,literal,Catriona Le May Doan
257,uri,http://www.wikidata.org/entity/Q269609,en,literal,Wang Chen
258,uri,http://www.wikidata.org/entity/Q264031,en,literal,Chryste Gaines
259,uri,http://www.wikidata.org/entity/Q267728,en,literal,Denny Morrison
260,uri,http://www.wikidata.org/entity/Q260313,en,literal,Domenico Valentino
261,uri,http://www.wikidata.org/entity/Q259638,en,literal,Ebba Jungmark
262,uri,http://www.wikidata.org/entity/Q260677,en,literal,Elana Meyer
263,uri,http://www.wikidata.org/entity/Q256083,en,literal,Elena Grushina
264,uri,http://www.wikidata.org/entity/Q264217,en,literal,Elena Runggaldier
265,uri,http://www.wikidata.org/entity/Q269719,en,literal,Yelena Sokolova
266,uri,http://www.wikidata.org/entity/Q260061,en,literal,Éva Tófalvi
267,uri,http://www.wikidata.org/entity/Q255482,en,literal,Félicia Ballanger
268,uri,http://www.wikidata.org/entity/Q258556,en,literal,Ene Franca Idoko
269,uri,http://www.wikidata.org/entity/Q258287,en,literal,Gábor Benedek
270,uri,http://www.wikidata.org/entity/Q261260,en,literal,Grace Jackson
271,uri,http://www.wikidata.org/entity/Q260805,en,literal,Herma Bauma
272,uri,http://www.wikidata.org/entity/Q266954,en,literal,Ren Hui
273,uri,http://www.wikidata.org/entity/Q264240,en,literal,Ildikó Újlaky-Rejtő
274,uri,http://www.wikidata.org/entity/Q256770,en,literal,Ingrid Kristiansen
275,uri,http://www.wikidata.org/entity/Q269817,en,literal,Jadwiga Wajs
276,uri,http://www.wikidata.org/entity/Q261602,en,literal,Jasna Šekarić
277,uri,http://www.wikidata.org/entity/Q261693,en,literal,Juanín García
278,uri,http://www.wikidata.org/entity/Q266506,en,literal,Kea Bouman
279,uri,http://www.wikidata.org/entity/Q264170,en,literal,Laurine van Riessen
280,uri,http://www.wikidata.org/entity/Q258545,en,literal,Cao Lei
281,uri,http://www.wikidata.org/entity/Q260251,en,literal,Letitia Vriesde
282,uri,http://www.wikidata.org/entity/Q267893,en,literal,Lorraine Fenton
283,uri,http://www.wikidata.org/entity/Q254765,en,literal,Lothar Stäber
284,uri,http://www.wikidata.org/entity/Q261670,en,literal,Maria Orlova
285,uri,http://www.wikidata.org/entity/Q270137,en,literal,Marianne St-Gelais
286,uri,http://www.wikidata.org/entity/Q245241,en,literal,Marin Čilić
287,uri,http://www.wikidata.org/entity/Q251935,en,literal,Marine Debauve
288,uri,http://www.wikidata.org/entity/Q263032,en,literal,Marit Malm Frafjord
289,uri,http://www.wikidata.org/entity/Q266186,en,literal,Maurice Manificat
290,uri,http://www.wikidata.org/entity/Q256226,en,literal,Max Stiepl
291,uri,http://www.wikidata.org/entity/Q263914,en,literal,Milica Mandić
292,uri,http://www.wikidata.org/entity/Q270056,en,literal,Mirja Lehtonen
293,uri,http://www.wikidata.org/entity/Q267452,en,literal,Mirjam Ott
294,uri,http://www.wikidata.org/entity/Q253853,en,literal,Nao Kodaira
295,uri,http://www.wikidata.org/entity/Q266307,en,literal,Natalya Shikolenko
296,uri,http://www.wikidata.org/entity/Q253674,en,literal,Nicole Haislett
297,uri,http://www.wikidata.org/entity/Q264689,en,literal,Noemí Simonetto
298,uri,http://www.wikidata.org/entity/Q264354,en,literal,Nuria Fernández
299,uri,http://www.wikidata.org/entity/Q254132,en,literal,Olga Shishigina
300,uri,http://www.wikidata.org/entity/Q269752,en,literal,Senja Pusula
301,uri,http://www.wikidata.org/entity/Q259499,en,literal,Sheena Tosta
302,uri,http://www.wikidata.org/entity/Q270030,en,literal,Tara Whitten
303,uri,http://www.wikidata.org/entity/Q254423,en,literal,Tatyana Tomashova
304,uri,http://www.wikidata.org/entity/Q261969,en,literal,Torri Edwards
305,uri,http://www.wikidata.org/entity/Q251241,en,literal,Viktor Zaytsev
306,uri,http://www.wikidata.org/entity/Q256141,en,literal,Vladimir Sakhnov
307,uri,http://www.wikidata.org/entity/Q284562,en,literal,Alan Bannister
308,uri,http://www.wikidata.org/entity/Q56254387,en,literal,Alexander Cunningham
309,uri,http://www.wikidata.org/entity/Q271607,en,literal,Alina Ivanova
310,uri,http://www.wikidata.org/entity/Q270501,en,literal,Andreea Grigore
311,uri,http://www.wikidata.org/entity/Q270219,en,literal,Anisya Kirdyapkina
312,uri,http://www.wikidata.org/entity/Q270657,en,literal,Anna Meares
313,uri,http://www.wikidata.org/entity/Q273561,en,literal,Anne-Marie Colchen
314,uri,http://www.wikidata.org/entity/Q274203,en,literal,Christelle Gros
315,uri,http://www.wikidata.org/entity/Q272353,en,literal,Diann Roffe
316,uri,http://www.wikidata.org/entity/Q274258,en,literal,Édouard Candeveau
317,uri,http://www.wikidata.org/entity/Q274720,en,literal,Élise Bussaglia
318,uri,http://www.wikidata.org/entity/Q291951,en,literal,Ellen Braumüller
319,uri,http://www.wikidata.org/entity/Q274796,en,literal,Éloyse Lesueur-Aymonin
320,uri,http://www.wikidata.org/entity/Q274879,en,literal,Émile Ali-Khan
321,uri,http://www.wikidata.org/entity/Q274994,en,literal,Émile Champion
322,uri,http://www.wikidata.org/entity/Q285961,en,literal,Émile Grumiaux
323,uri,http://www.wikidata.org/entity/Q271507,en,literal,Éva Székely
324,uri,http://www.wikidata.org/entity/Q274390,en,literal,Fernanda Ferreira
325,uri,http://www.wikidata.org/entity/Q273967,en,literal,Gabriele Hinzmann
326,uri,http://www.wikidata.org/entity/Q276081,en,literal,Hanne Hegh
327,uri,http://www.wikidata.org/entity/Q275590,en,literal,Ilona Richter
328,uri,http://www.wikidata.org/entity/Q290403,en,literal,Jacqueline Lawrence
329,uri,http://www.wikidata.org/entity/Q272570,en,literal,Jade Jones
330,uri,http://www.wikidata.org/entity/Q275418,en,literal,Joanne Goode
331,uri,http://www.wikidata.org/entity/Q521871,en,literal,Hannemor Gram
332,uri,http://www.wikidata.org/entity/Q287912,en,literal,Klodiana Shala
333,uri,http://www.wikidata.org/entity/Q275378,en,literal,Lena Videkull
334,uri,http://www.wikidata.org/entity/Q272360,en,literal,Luise Krüger
335,uri,http://www.wikidata.org/entity/Q274019,en,literal,Marina Kielmann
336,uri,http://www.wikidata.org/entity/Q288897,en,literal,Marshevet Myers
337,uri,http://www.wikidata.org/entity/Q274531,en,literal,Maura Viceconte
338,uri,http://www.wikidata.org/entity/Q293331,en,literal,Megan Tandy
339,uri,http://www.wikidata.org/entity/Q290774,en,literal,Michelle Freeman
340,uri,http://www.wikidata.org/entity/Q276654,en,literal,Mikhail Dauhaliavets
341,uri,http://www.wikidata.org/entity/Q284782,en,literal,Natallia Sazanovich
342,uri,http://www.wikidata.org/entity/Q285240,en,literal,Nathan Adrian
343,uri,http://www.wikidata.org/entity/Q274997,en,literal,Nozomi Komuro
344,uri,http://www.wikidata.org/entity/Q279517,en,literal,Prodan Gardzhev
345,uri,http://www.wikidata.org/entity/Q272736,en,literal,Sabina Valbusa
346,uri,http://www.wikidata.org/entity/Q275203,en,literal,Selina Gasparin
347,uri,http://www.wikidata.org/entity/Q289462,en,literal,Seun Adigun
348,uri,http://www.wikidata.org/entity/Q270400,en,literal,Tatiana Lysenko
349,uri,http://www.wikidata.org/entity/Q290641,en,literal,Tatyana Prorochenko
350,uri,http://www.wikidata.org/entity/Q271722,en,literal,Therese Borssén
351,uri,http://www.wikidata.org/entity/Q271744,en,literal,Veronika Vítková
