,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value,conditions.type,conditions.value
5360,uri,http://www.wikidata.org/entity/Q2497011,en,literal,Albrecht Rodenbach,en,literal,male,literal,tuberculosis
5361,uri,http://www.wikidata.org/entity/Q2499809,en,literal,Muslim Magomayev,en,literal,male,literal,tuberculosis
5362,uri,http://www.wikidata.org/entity/Q2503385,en,literal,Misak Metsarents,en,literal,male,literal,tuberculosis
5363,uri,http://www.wikidata.org/entity/Q313294,en,literal,Hu Jia,en,literal,male,literal,liver cirrhosis
5364,uri,http://www.wikidata.org/entity/Q5069763,en,literal,Jose Chameleone,en,literal,male,literal,"liver cirrhosis, fibrosis of pancreas"
5365,uri,http://www.wikidata.org/entity/Q5263246,en,literal,Derryn Hinch,en,literal,male,literal,"liver cirrhosis, liver cancer"
5366,uri,http://www.wikidata.org/entity/Q37792347,en,literal,Loek Zonneveld,en,literal,male,literal,"liver cirrhosis, esophageal cancer"
5367,uri,http://www.wikidata.org/entity/Q11107,en,literal,Sonia Sotomayor,en,literal,female,literal,type-1 diabetes
5368,uri,http://www.wikidata.org/entity/Q41342,en,literal,Mary Tyler Moore,en,literal,female,literal,type-1 diabetes
5369,uri,http://www.wikidata.org/entity/Q76084,en,literal,Tony Marshall,en,literal,male,literal,"type-1 diabetes, polyneuropathy"
5370,uri,http://www.wikidata.org/entity/Q103876,en,literal,Peter O'Toole,en,literal,male,literal,type-1 diabetes
5371,uri,http://www.wikidata.org/entity/Q140043,en,literal,Fernando del Valle,en,literal,male,literal,type-1 diabetes
5372,uri,http://www.wikidata.org/entity/Q168847,en,literal,Brittany Murphy,en,literal,female,literal,type-1 diabetes
5373,uri,http://www.wikidata.org/entity/Q184785,en,literal,Anne Rice,en,literal,female,literal,type-1 diabetes
5374,uri,http://www.wikidata.org/entity/Q192818,en,literal,Bettino Craxi,en,literal,male,literal,type-1 diabetes
5375,uri,http://www.wikidata.org/entity/Q201656,en,literal,Nick Jonas,en,literal,male,literal,type-1 diabetes
5376,uri,http://www.wikidata.org/entity/Q205322,en,literal,Frankie Knuckles,en,literal,male,literal,type-1 diabetes
5377,uri,http://www.wikidata.org/entity/Q221048,en,literal,Jackie Robinson,en,literal,male,literal,type-1 diabetes
5378,uri,http://www.wikidata.org/entity/Q232047,en,literal,Elizabeth Perkins,en,literal,female,literal,type-1 diabetes
5379,uri,http://www.wikidata.org/entity/Q237659,en,literal,Penny Marshall,en,literal,female,literal,type-1 diabetes
5380,uri,http://www.wikidata.org/entity/Q239069,en,literal,Jean Smart,en,literal,female,literal,type-1 diabetes
5381,uri,http://www.wikidata.org/entity/Q246492,en,literal,Kris Freeman,en,literal,male,literal,type-1 diabetes
5382,uri,http://www.wikidata.org/entity/Q264766,en,literal,Theresa May,en,literal,female,literal,type-1 diabetes
5383,uri,http://www.wikidata.org/entity/Q270664,en,literal,Victor Garber,en,literal,male,literal,type-1 diabetes
5384,uri,http://www.wikidata.org/entity/Q271795,en,literal,Crystal Bowersox,en,literal,female,literal,type-1 diabetes
5385,uri,http://www.wikidata.org/entity/Q294927,en,literal,Jerry Lewis,en,literal,male,literal,type-1 diabetes
5386,uri,http://www.wikidata.org/entity/Q313931,en,literal,Albert Ellis,en,literal,male,literal,type-1 diabetes
5387,uri,http://www.wikidata.org/entity/Q321906,en,literal,Mark Collie,en,literal,male,literal,type-1 diabetes
5388,uri,http://www.wikidata.org/entity/Q325250,en,literal,Catfish Hunter,en,literal,male,literal,type-1 diabetes
5389,uri,http://www.wikidata.org/entity/Q344384,en,literal,Damon Dash,en,literal,male,literal,type-1 diabetes
5390,uri,http://www.wikidata.org/entity/Q350464,en,literal,Adam Morrison,en,literal,male,literal,type-1 diabetes
5391,uri,http://www.wikidata.org/entity/Q353966,en,literal,Gary Hall Jr.,en,literal,male,literal,type-1 diabetes
5392,uri,http://www.wikidata.org/entity/Q365042,en,literal,Bret Michaels,en,literal,male,literal,type-1 diabetes
5393,uri,http://www.wikidata.org/entity/Q378444,en,literal,Rod Kafer,en,literal,male,literal,type-1 diabetes
